semantic_view,status,match_strategy,file_path,relative_file_path,candidate_aliases
fiben_buy_transactions,matched,exact_fiben_override_match,/home/hudson/Documents/framework_test/fiben/data_sf/sf30/SECURITIESTRANSACTION.csv,SECURITIESTRANSACTION.csv,"['buy_transactions', 'buy_transaction', 'buytransactions', 'buytransaction', 'SECURITIESTRANSACTION']"
fiben_corporations,matched,exact_candidate_match,/home/hudson/Documents/framework_test/fiben/data_sf/sf30/CORPORATION.csv,CORPORATION.csv,"['corporations', 'corporation', 'companies', 'company', 'corp']"
fiben_countries,matched,exact_candidate_match,/home/hudson/Documents/framework_test/fiben/data_sf/sf30/COUNTRY.csv,COUNTRY.csv,"['countries', 'country']"
fiben_disclosures,matched,exact_candidate_match,/home/hudson/Documents/framework_test/fiben/data_sf/sf30/DISCLOSURE.csv,DISCLOSURE.csv,"['disclosures', 'disclosure']"
fiben_financial_service_accounts,matched,exact_candidate_match,/home/hudson/Documents/framework_test/fiben/data_sf/sf30/FINANCIALSERVICEACCOUNT.csv,FINANCIALSERVICEACCOUNT.csv,"['financial_service_accounts', 'financialserviceaccounts', 'financial_service_account', 'accounts', 'account']"
fiben_holdings,matched,exact_candidate_match,/home/hudson/Documents/framework_test/fiben/data_sf/sf30/HOLDING.csv,HOLDING.csv,"['holdings', 'holding']"
fiben_industries,matched,substring_candidate_match,/home/hudson/Documents/framework_test/fiben/data_sf/sf30/INDUSTRYSECTORCLASSIFIER.csv,INDUSTRYSECTORCLASSIFIER.csv,"['industries', 'industry', 'industry_classifications', 'industry_classification']"
fiben_listed_securities,matched,exact_candidate_match,/home/hudson/Documents/framework_test/fiben/data_sf/sf30/LISTEDSECURITY.csv,LISTEDSECURITY.csv,"['listed_securities', 'listed_security', 'listedsecurity', 'listedsecurities']"
fiben_persons,matched,exact_candidate_match,/home/hudson/Documents/framework_test/fiben/data_sf/sf30/PERSON.csv,PERSON.csv,"['persons', 'person']"
fiben_report_elements,matched,exact_fiben_override_match,/home/hudson/Documents/framework_test/fiben/data_sf/sf30/ELEMENTSOFFINANCIALREPORT.csv,ELEMENTSOFFINANCIALREPORT.csv,"['report_elements', 'report_element', 'reportelements', 'reportelement', 'ELEMENTSOFFINANCIALREPORT']"
fiben_reports,matched,exact_candidate_match,/home/hudson/Documents/framework_test/fiben/data_sf/sf30/FINANCIALREPORT.csv,FINANCIALREPORT.csv,"['reports', 'report', 'financial_reports', 'financial_report', 'filings', 'filing']"
fiben_securities,matched,exact_candidate_match,/home/hudson/Documents/framework_test/fiben/data_sf/sf30/SECURITY.csv,SECURITY.csv,"['securities', 'security']"
fiben_sell_transactions,matched,exact_fiben_override_match,/home/hudson/Documents/framework_test/fiben/data_sf/sf30/SECURITIESTRANSACTION.csv,SECURITIESTRANSACTION.csv,"['sell_transactions', 'sell_transaction', 'selltransactions', 'selltransaction', 'SECURITIESTRANSACTION']"
fiben_statement_elements,matched,exact_fiben_override_match,/home/hudson/Documents/framework_test/fiben/data_sf/sf30/ELEMENTOFFINANCIALSTATEMENT.csv,ELEMENTOFFINANCIALSTATEMENT.csv,"['statement_elements', 'statement_element', 'statementelements', 'statementelement', 'ELEMENTOFFINANCIALSTATEMENT']"
fiben_transactions,matched,exact_candidate_match,/home/hudson/Documents/framework_test/fiben/data_sf/sf30/SECURITIESTRANSACTION.csv,SECURITIESTRANSACTION.csv,"['transactions', 'transaction', 'securities_transactions', 'securities_transaction', 'security_transactions', 'security_transaction']"
