target_collection,document_signature,root_entity,root_source_view,root_count,embedding_steps,estimated_worst_case_bson_bytes,estimated_worst_case_bson_mb,risk_label,max_child_summary
dbsr_rank01_listedsecurity,ListedSecurity,ListedSecurity,fiben_listed_securities,27451,0,251,0.000239,low_risk,[]
dbsr_rank02_transaction_listedsecurity,Transaction|{ListedSecurity},Transaction,fiben_transactions,19500001,1,571,0.000545,low_risk,"[{""relationship_id"": ""transaction_refers_to_listed_security"", ""parent_entity"": ""Transaction"", ""child_entity"": ""ListedSecurity"", ""child_source_view"": ""fiben_listed_securities"", ""child_join_column"": ""LISTEDSECURITYID"", ""max_children"": 1, ""avg_children_when_present"": 1.0, ""top_parent_values"": [{""join_value"": ""SF10_SEC_R09_1003392"", ""child_count"": 1}, {""join_value"": ""SF10_SEC_R06_1005542"", ""child_count"": 1}, {""join_value"": ""SF10_SEC_R08_1005013"", ""child_count"": 1}, {""join_value"": ""1004036"", ""child_count"": 1}, {""join_value"": ""SF10_SEC_R04_1005611"", ""child_count"": 1}]}]"
dbsr_rank03_corporation,Corporation,Corporation,fiben_corporations,23241,0,206,0.000196,low_risk,[]
dbsr_rank04_person,Person,Person,fiben_persons,1953901,0,314,0.000299,low_risk,[]
dbsr_rank05_corporation_country,Corporation|{Country},Corporation,fiben_corporations,23241,1,315,0.0003,low_risk,"[{""relationship_id"": ""corporation_has_country"", ""parent_entity"": ""Corporation"", ""child_entity"": ""Country"", ""child_source_view"": ""fiben_countries"", ""child_join_column"": ""COUNTRYID"", ""max_children"": 1, ""avg_children_when_present"": 1.0, ""top_parent_values"": [{""join_value"": ""75"", ""child_count"": 1}, {""join_value"": ""182"", ""child_count"": 1}, {""join_value"": ""108"", ""child_count"": 1}, {""join_value"": ""3"", ""child_count"": 1}, {""join_value"": ""140"", ""child_count"": 1}]}]"
dbsr_rank06_corporation_industry,Corporation|{Industry},Corporation,fiben_corporations,23241,1,455,0.000434,low_risk,"[{""relationship_id"": ""corporation_has_industry"", ""parent_entity"": ""Corporation"", ""child_entity"": ""Industry"", ""child_source_view"": ""fiben_industries"", ""child_join_column"": ""INDUSTRYSECTORCLASSIFIERID"", ""max_children"": 1, ""avg_children_when_present"": 1.0, ""top_parent_values"": [{""join_value"": ""2015"", ""child_count"": 1}, {""join_value"": ""6141"", ""child_count"": 1}, {""join_value"": ""3480"", ""child_count"": 1}, {""join_value"": ""3651"", ""child_count"": 1}, {""join_value"": ""4522"", ""child_count"": 1}]}]"
dbsr_rank07_financialserviceaccount_holding_listedsecurity,FinancialServiceAccount|{Holding|{ListedSecurity}},FinancialServiceAccount,fiben_financial_service_accounts,3793531,2,5040,0.004807,low_risk,"[{""relationship_id"": ""account_has_holding"", ""parent_entity"": ""FinancialServiceAccount"", ""child_entity"": ""Holding"", ""child_source_view"": ""fiben_holdings"", ""child_join_column"": ""ISHELDBY"", ""max_children"": 10, ""avg_children_when_present"": 5.494735116175405, ""top_parent_values"": [{""join_value"": ""150000000005"", ""child_count"": 10}, {""join_value"": ""150000000021"", ""child_count"": 10}, {""join_value"": ""150000000036"", ""child_count"": 10}, {""join_value"": ""150000000027"", ""child_count"": 10}, {""join_value"": ""150000000006"", ""child_count"": 10}]}, {""relationship_id"": ""holding_refers_to_listed_security"", ""parent_entity"": ""Holding"", ""child_entity"": ""ListedSecurity"", ""child_source_view"": ""fiben_listed_securities"", ""child_join_column"": ""LISTEDSECURITYID"", ""max_children"": 1, ""avg_children_when_present"": 1.0, ""top_parent_values"": [{""join_value"": ""SF10_SEC_R09_1003273"", ""child_count"": 1}, {""join_value"": ""SF10_SEC_R04_1004139"", ""child_count"": 1}, {""join_value"": ""1003881"", ""child_count"": 1}, {""join_value"": ""SF10_SEC_R04_1004338"", ""child_count"": 1}, {""join_value"": ""SF10_SEC_R08_1002264"", ""child_count"": 1}]}]"
dbsr_rank08_corporation_security_listedsecurity,Corporation|{Security|{ListedSecurity}},Corporation,fiben_corporations,23241,2,5835,0.005565,low_risk,"[{""relationship_id"": ""corporation_has_security"", ""parent_entity"": ""Corporation"", ""child_entity"": ""Security"", ""child_source_view"": ""fiben_securities"", ""child_join_column"": ""ISPROVIDEDBY"", ""max_children"": 13, ""avg_children_when_present"": 1.1811453896131836, ""top_parent_values"": [{""join_value"": ""SF10_CORP_R07_2688"", ""child_count"": 13}, {""join_value"": ""SF10_CORP_R05_2688"", ""child_count"": 13}, {""join_value"": ""SF10_CORP_R09_2688"", ""child_count"": 13}, {""join_value"": ""SF10_CORP_R01_2688"", ""child_count"": 13}, {""join_value"": ""SF10_CORP_R03_2688"", ""child_count"": 13}]}, {""relationship_id"": ""security_has_listed_security"", ""parent_entity"": ""Security"", ""child_entity"": ""ListedSecurity"", ""child_source_view"": ""fiben_listed_securities"", ""child_join_column"": ""LISTEDSECURITYID"", ""max_children"": 1, ""avg_children_when_present"": 1.0, ""top_parent_values"": [{""join_value"": ""SF10_SEC_R05_1001475"", ""child_count"": 1}, {""join_value"": ""SF10_SEC_R04_1003745"", ""child_count"": 1}, {""join_value"": ""SF10_SEC_R05_1004308"", ""child_count"": 1}, {""join_value"": ""SF10_SEC_R02_1001234"", ""child_count"": 1}, {""join_value"": ""SF10_SEC_R04_1001591"", ""child_count"": 1}]}]"
dbsr_rank09_financialserviceaccount_transaction_listedsecurity,FinancialServiceAccount|{Transaction|{ListedSecurity}},FinancialServiceAccount,fiben_financial_service_accounts,3793531,2,9396,0.008961,low_risk,"[{""relationship_id"": ""account_records_transaction"", ""parent_entity"": ""FinancialServiceAccount"", ""child_entity"": ""Transaction"", ""child_source_view"": ""fiben_transactions"", ""child_join_column"": ""ISFACILITATEDBY"", ""max_children"": 16, ""avg_children_when_present"": 5.169026083964595, ""top_parent_values"": [{""join_value"": ""150000018979"", ""child_count"": 16}, {""join_value"": ""150000006411"", ""child_count"": 16}, {""join_value"": ""150000066523"", ""child_count"": 16}, {""join_value"": ""150000061722"", ""child_count"": 16}, {""join_value"": ""150000008362"", ""child_count"": 16}]}, {""relationship_id"": ""transaction_refers_to_listed_security"", ""parent_entity"": ""Transaction"", ""child_entity"": ""ListedSecurity"", ""child_source_view"": ""fiben_listed_securities"", ""child_join_column"": ""LISTEDSECURITYID"", ""max_children"": 1, ""avg_children_when_present"": 1.0, ""top_parent_values"": [{""join_value"": ""SF10_SEC_R09_1003392"", ""child_count"": 1}, {""join_value"": ""SF10_SEC_R06_1005542"", ""child_count"": 1}, {""join_value"": ""SF10_SEC_R08_1005013"", ""child_count"": 1}, {""join_value"": ""1004036"", ""child_count"": 1}, {""join_value"": ""SF10_SEC_R04_1005611"", ""child_count"": 1}]}]"
dbsr_rank10_person_financialserviceaccount_transaction,Person|{FinancialServiceAccount|{Transaction}},Person,fiben_persons,1953901,2,37974,0.036215,low_risk,"[{""relationship_id"": ""person_owns_financial_service_account"", ""parent_entity"": ""Person"", ""child_entity"": ""FinancialServiceAccount"", ""child_source_view"": ""fiben_financial_service_accounts"", ""child_join_column"": ""ISOWNEDBY"", ""max_children"": 7, ""avg_children_when_present"": 1.9453995151797359, ""top_parent_values"": [{""join_value"": ""400000000316"", ""child_count"": 7}, {""join_value"": ""400000000201"", ""child_count"": 7}, {""join_value"": ""400000000347"", ""child_count"": 7}, {""join_value"": ""400000000324"", ""child_count"": 7}, {""join_value"": ""400000000257"", ""child_count"": 7}]}, {""relationship_id"": ""account_records_transaction"", ""parent_entity"": ""FinancialServiceAccount"", ""child_entity"": ""Transaction"", ""child_source_view"": ""fiben_transactions"", ""child_join_column"": ""ISFACILITATEDBY"", ""max_children"": 16, ""avg_children_when_present"": 5.169026083964595, ""top_parent_values"": [{""join_value"": ""150000018979"", ""child_count"": 16}, {""join_value"": ""150000006411"", ""child_count"": 16}, {""join_value"": ""150000066523"", ""child_count"": 16}, {""join_value"": ""150000061722"", ""child_count"": 16}, {""join_value"": ""150000008362"", ""child_count"": 16}]}]"
