execution_status,n_candidates,query_name,scale_label
skipped,1,Q10_CreateAccountHoldingAndBuyTransaction,sf30
completed,1,Q1_CompanyProfileIBM,sf30
completed,1,Q2_CompanyWithIndustryCountryAndListedSecurities,sf30
completed,1,Q3_SecuritiesHeldInEachFinancialServiceAccount,sf30
completed,1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,sf30
completed,1,Q5_ReportsAndMetricDataOfCompany,sf30
completed,1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,sf30
completed,1,Q7_PersonsWhoBoughtMoreIBMThanSold,sf30
completed,1,Q8_IBMTransactionsBelowAverageSellingPrice,sf30
completed,1,Q9_PersonsWhoBoughtAndSoldSameStock,sf30
