semantic_view,file_path,file_name,file_size_bytes,delimiter,n_columns,columns,n_rows,row_count_policy
fiben_buy_transactions,/home/hudson/Documents/framework_test/fiben/data_sf/sf10/SECURITIESTRANSACTION.csv,SECURITIESTRANSACTION.csv,2501417225,",",7,"['SECURITIESTRANSACTIONID', 'ISFACILITATEDBY', 'HASPRICE', 'REFERSTO', 'HASTYPE', 'HASSETTLEMENTDATE', 'HASCOUNT']",,not_counted
fiben_corporations,/home/hudson/Documents/framework_test/fiben/data_sf/sf10/CORPORATION.csv,CORPORATION.csv,1636546,",",5,"['CORPORATIONID', 'ISCLASSIFIEDBY', 'ISDOMICILEDIN', 'HASTICKERSYMBOL', 'HASLEGALNAME']",,not_counted
fiben_countries,/home/hudson/Documents/framework_test/fiben/data_sf/sf10/COUNTRY.csv,COUNTRY.csv,4985,",",3,"['COUNTRYID', 'HASNAME', 'HASNUMERICCOUNTRYCODE']",,not_counted
fiben_disclosures,/home/hudson/Documents/framework_test/fiben/data_sf/sf10/DISCLOSURE.csv,DISCLOSURE.csv,357401722,",",15,"['DISCLOSUREID', 'HASMETRICYEARCALENDAR', 'HASMETRICSTARTDATE', 'HASDOCUMENTTYPE', 'HASMETRICENDQUARTER', 'HASUNIT', 'APPLICABLEPERIOD', 'HASUNIQUEIDENTIFIER', 'HASMETRICENDDATE', 'ISCOMPUTED', 'HASMETRICVALUE', 'HASMETRICYEARFISCAL', 'HASURL', 'HASMETRICCONTEXTDIMENSIONS', 'HASMETRICSTARTQUARTER']",,not_counted
fiben_financial_service_accounts,/home/hudson/Documents/framework_test/fiben/data_sf/sf10/FINANCIALSERVICEACCOUNT.csv,FINANCIALSERVICEACCOUNT.csv,443551278,",",5,"['FINANCIALSERVICEACCOUNTID', 'ISOWNEDBY', 'ISMANAGEDBY', 'HASACCOUNTNUMBER', 'HASSTARTDATE']",,not_counted
fiben_holdings,/home/hudson/Documents/framework_test/fiben/data_sf/sf10/HOLDING.csv,HOLDING.csv,2146906246,",",5,"['HOLDINGID', 'ISHELDBY', 'REFERSTO', 'HASDESCRIPTION', 'HASCOUNT']",,not_counted
fiben_industries,/home/hudson/Documents/framework_test/fiben/data_sf/sf10/INDUSTRYSECTORCLASSIFIER.csv,INDUSTRYSECTORCLASSIFIER.csv,33026,",",6,"['INDUSTRYSECTORCLASSIFIERID', 'ISDEFINEDBY', 'HASUNIQUEIDENTIFIER', 'HASDESCRIPTION', 'HASNUMERICCODE', 'HASFORMALNAME']",,not_counted
fiben_listed_securities,/home/hudson/Documents/framework_test/fiben/data_sf/sf10/LISTEDSECURITY.csv,LISTEDSECURITY.csv,2969130,",",5,"['LISTEDSECURITYID', 'HASLASTTRADEDVALUE', 'HASLISTINGDATE', 'HASTICKERSYMBOL', 'HASLEGALNAME']",,not_counted
fiben_persons,/home/hudson/Documents/framework_test/fiben/data_sf/sf10/PERSON.csv,PERSON.csv,273010415,",",9,"['PERSONID', 'HASPLACEOFBIRTH', 'HASCITIZENSHIP', 'HASGENDER', 'HASDATEOFBIRTH', 'HASPERSONNAME', 'HASLASTNAME', 'HASFIRSTNAME', 'HASMIDDLENAMEORINITIAL']",,not_counted
fiben_report_elements,/home/hudson/Documents/framework_test/fiben/data_sf/sf10/ELEMENTSOFFINANCIALREPORT.csv,ELEMENTSOFFINANCIALREPORT.csv,3414006337,",",2,"['ELEMENTSOFFINANCIALREPORTID', 'ISMEMBEROF']",,not_counted
fiben_reports,/home/hudson/Documents/framework_test/fiben/data_sf/sf10/FINANCIALREPORT.csv,FINANCIALREPORT.csv,32941333,",",3,"['FINANCIALREPORTID', 'ISPROVIDEDBY', 'HASUNIQUEIDENTIFIER']",,not_counted
fiben_securities,/home/hudson/Documents/framework_test/fiben/data_sf/sf10/SECURITY.csv,SECURITY.csv,1078820,",",3,"['SECURITYID', 'ISTRADEDON', 'ISPROVIDEDBY']",,not_counted
fiben_sell_transactions,/home/hudson/Documents/framework_test/fiben/data_sf/sf10/SECURITIESTRANSACTION.csv,SECURITIESTRANSACTION.csv,2501417225,",",7,"['SECURITIESTRANSACTIONID', 'ISFACILITATEDBY', 'HASPRICE', 'REFERSTO', 'HASTYPE', 'HASSETTLEMENTDATE', 'HASCOUNT']",,not_counted
fiben_statement_elements,/home/hudson/Documents/framework_test/fiben/data_sf/sf10/ELEMENTOFFINANCIALSTATEMENT.csv,ELEMENTOFFINANCIALSTATEMENT.csv,742615145,",",15,"['ELEMENTOFFINANCIALSTATEMENTID', 'HASMETRICYEARCALENDAR', 'HASMETRICSTARTDATE', 'HASDOCUMENTTYPE', 'HASMETRICENDQUARTER', 'HASUNIT', 'APPLICABLEPERIOD', 'HASUNIQUEIDENTIFIER', 'HASMETRICENDDATE', 'ISCOMPUTED', 'HASMETRICVALUE', 'HASMETRICYEARFISCAL', 'HASURL', 'HASMETRICCONTEXTDIMENSIONS', 'HASMETRICSTARTQUARTER']",,not_counted
fiben_transactions,/home/hudson/Documents/framework_test/fiben/data_sf/sf10/SECURITIESTRANSACTION.csv,SECURITIESTRANSACTION.csv,2501417225,",",7,"['SECURITIESTRANSACTIONID', 'ISFACILITATEDBY', 'HASPRICE', 'REFERSTO', 'HASTYPE', 'HASSETTLEMENTDATE', 'HASCOUNT']",,not_counted
